,epoch,acc,val_acc,loss,val_loss
0,99,0.71875,0.59375,0.8643658757209778,1.0112562775611877
0,98,0.75,0.6875,0.8381254225969315,0.4956780970096588
0,97,0.734375,0.59375,0.9160454571247101,0.6582190990447998
0,96,0.765625,0.71875,0.7522958815097809,0.659912109375
0,95,0.921875,0.75,0.5407427251338959,0.6581213474273682
0,94,0.75,0.53125,0.7398671209812164,1.2184233665466309
0,93,0.859375,0.59375,0.6068006008863449,1.4563289880752563
0,92,0.84375,0.625,0.7169226855039597,1.0232505798339844
0,91,0.765625,0.59375,0.7160087674856186,1.0671621561050415
0,90,0.796875,0.65625,0.6670112609863281,0.8098788559436798
0,89,0.734375,0.65625,0.773818239569664,0.7128052115440369
0,88,0.8125,0.71875,0.7114924192428589,0.6771420538425446
0,87,0.75,0.78125,0.7910746783018112,0.599958062171936
0,86,0.8125,0.75,0.6962684839963913,0.7268625795841217
0,85,0.75,0.59375,0.8315704613924026,0.7940998375415802
0,84,0.796875,0.4375,0.758492037653923,1.1137298941612244
0,83,0.703125,0.53125,0.8513877093791962,2.309863328933716
0,82,0.796875,0.5,0.7719492763280869,2.165744423866272
0,81,0.75,0.5,0.876869261264801,4.051780819892883
0,80,0.78125,0.46875,0.7101897150278091,2.4209179878234863
0,79,0.8125,0.65625,0.6670907810330391,0.9594837129116058
0,78,0.765625,0.84375,0.7147607654333115,0.44215790927410126
0,77,0.796875,0.71875,0.6691174209117889,0.7499899566173553
0,76,0.796875,0.59375,0.7729657292366028,1.0099863708019257
0,75,0.75,0.65625,0.6418105736374855,0.6314559280872345
0,74,0.75,0.71875,0.8398637771606445,0.6545850038528442
0,73,0.796875,0.78125,0.7606906890869141,0.5612092316150665
0,72,0.75,0.78125,0.8178359121084213,0.5775837898254395
0,71,0.703125,0.78125,0.8380237221717834,0.6760763227939606
0,70,0.734375,0.625,0.9221376925706863,0.7268211245536804
0,69,0.796875,0.5,0.7619734853506088,1.6770738363265991
0,68,0.765625,0.53125,0.8230801671743393,1.255461871623993
0,67,0.78125,0.59375,0.7935908436775208,0.7828594148159027
0,66,0.78125,0.59375,0.7835036367177963,1.010046511888504
0,65,0.71875,0.5,0.8760396391153336,1.9514851570129395
0,64,0.734375,0.6875,0.8994510471820831,0.9933576285839081
0,63,0.734375,0.71875,0.8925543129444122,0.9418788850307465
0,62,0.828125,0.625,0.7227825224399567,0.671239823102951
0,61,0.765625,0.75,0.7471875250339508,0.6086021363735199
0,60,0.65625,0.6875,0.916644737124443,0.758313000202179
0,59,0.75,0.5,0.7774337083101273,2.202202796936035
0,58,0.71875,0.53125,0.865992933511734,1.0201500952243805
0,57,0.765625,0.53125,0.8281209915876389,0.8414851725101471
0,56,0.703125,0.5625,0.8433117717504501,0.7128096520900726
0,55,0.734375,0.78125,0.8407006412744522,0.4785788655281067
0,54,0.78125,0.78125,0.7946041375398636,0.5720913112163544
0,53,0.734375,0.71875,0.8579109460115433,0.578576534986496
0,52,0.703125,0.6875,0.9014329761266708,0.6064145863056183
0,51,0.796875,0.78125,0.852283701300621,0.539393275976181
0,50,0.71875,0.625,0.8684794753789902,0.7364929914474487
0,49,0.640625,0.6875,1.0222609341144562,0.564865380525589
0,48,0.671875,0.53125,1.0771718323230743,0.7551341652870178
0,47,0.75,0.46875,0.7749648690223694,1.3958008289337158
0,46,0.8125,0.65625,0.8476729542016983,0.7663082778453827
0,45,0.71875,0.59375,0.8134921938180923,0.7736932039260864
0,44,0.765625,0.5,0.8190153390169144,1.1541531085968018
0,43,0.75,0.5,0.773648738861084,1.3081043362617493
0,42,0.640625,0.5,0.9172467887401581,0.8404212594032288
0,41,0.703125,0.71875,0.8792081773281097,0.5547124445438385
0,40,0.71875,0.78125,0.8787836581468582,0.5086212307214737
0,39,0.609375,0.71875,0.9563034474849701,0.5510328114032745
0,38,0.6875,0.65625,0.9492454677820206,0.6289112269878387
0,37,0.703125,0.625,0.9152450114488602,0.5770216882228851
