,image,background_proportion,label,dataset,
0,impossa2,0.527224171,Impossible,Training,
0,impossa3,0.521205357,Impossible,Training,
0,impossa4,0.474410077,Impossible,Training,
0,impossa5,0.520149075,Impossible,Training,
0,impossa6,0.510263871,Impossible,Training,
0,impossa7,0.514608578,Impossible,Training,
0,impossa8,0.513113839,Impossible,Training,
0,impossb1,0.525609853,Impossible,Training,
0,impossb2,0.529057717,Impossible,Training,
0,impossb3,0.483518017,Impossible,Training,
0,impossb4,0.473832111,Impossible,Training,
0,impossb6,0.532306282,Impossible,Training,
0,impossc1,0.441047513,Impossible,Training,
0,impossc3,0.552594866,Impossible,Training,
0,impossc4,0.522959184,Impossible,Training,
0,impossc5,0.462651467,Impossible,Training,
0,impossc6,0.527144452,Impossible,Training,
0,impossg1,0.492526307,Impossible,Training,
0,impossg3,0.539919483,Impossible,Training,
0,impossg4,0.496631856,Impossible,Training,
0,impossg5,0.563735651,Impossible,Training,
0,impossg6,0.54685507,Impossible,Training,
0,impossg7,0.473852041,Impossible,Training,
0,impossh1,0.537209024,Impossible,Training,
0,impossh3,0.582848374,Impossible,Training,
0,impossh4,0.474449936,Impossible,Training,
0,impossh5,0.482661033,Impossible,Training,
0,impossh6,0.538504464,Impossible,Training,
0,impossi2,0.529615753,Impossible,Training,
0,impossi3,0.547751913,Impossible,Training,
0,impossi4,0.623086735,Impossible,Training,
0,impossi6,0.631855867,Impossible,Training,
0,newpossa2,0.46352838,Possible,Training,-0.063695791
0,newpossa3,0.474410077,Possible,Training,-0.046795281
0,newpossa4,0.433155293,Possible,Training,-0.041254783
0,newpossa5,0.479452328,Possible,Training,-0.040696747
0,newpossa6,0.474111129,Possible,Training,-0.036152742
0,newpossa7,0.47524713,Possible,Training,-0.039361448
0,newpossa8,0.482860332,Possible,Training,-0.030253508
0,newpossb1,0.492825255,Possible,Training,-0.032784598
0,newpossb2,0.492546237,Possible,Training,-0.03651148
0,newpossb3,0.455018335,Possible,Training,-0.028499681
0,newpossb4,0.41922433,Possible,Training,-0.054607781
0,newpossb6,0.494977679,Possible,Training,-0.037328603
0,newpossc1,0.4205397,Possible,Training,-0.020507813
0,newpossc3,0.516163106,Possible,Training,-0.03643176
0,newpossc4,0.487523916,Possible,Training,-0.035435268
0,newpossc5,0.443140147,Possible,Training,-0.01951132
0,newpossc6,0.493921397,Possible,Training,-0.033223055
0,newpossg1,0.477598852,Possible,Training,-0.014927455
0,newpossg3,0.47915338,Possible,Training,-0.060766103
0,newpossg4,0.455855389,Possible,Training,-0.040776467
0,newpossg5,0.531688457,Possible,Training,-0.032047194
0,newpossg6,0.510483099,Possible,Training,-0.036371971
0,newpossg7,0.431321747,Possible,Training,-0.042530293
0,newpossh1,0.49609375,Possible,Training,-0.041115274
0,newpossh3,0.549884407,Possible,Training,-0.032963967
0,newpossh4,0.431700415,Possible,Training,-0.042749522
0,newpossh5,0.443797832,Possible,Training,-0.038863202
0,newpossh6,0.505460778,Possible,Training,-0.033043686
0,newpossi2,0.461535395,Possible,Training,-0.068080357
0,newpossi3,0.453802615,Possible,Training,-0.093949298
0,newpossi4,0.516282685,Possible,Training,-0.10680405
0,newpossi6,0.54685507,Possible,Training,-0.085000797
0,impossa1,0.486806441,Impossible,Validation,
0,impossb5,0.531688457,Impossible,Validation,
0,impossc2,0.485909598,Impossible,Validation,
0,impossg2,0.43100287,Impossible,Validation,
0,impossg8,0.559131856,Impossible,Validation,
0,impossh2,0.503667092,Impossible,Validation,
0,impossi1,0.517299107,Impossible,Validation,
0,impossi5,0.559131856,Impossible,Validation,
0,newpossa1,0.389927455,Possible,Validation,-0.096878986
0,newpossb5,0.526905293,Possible,Validation,-0.004783163
0,newpossc2,0.488978795,Possible,Validation,0.003069196
0,newpossg2,0.381218112,Possible,Validation,-0.049784758
0,newpossg8,0.510782047,Possible,Validation,-0.048349809
0,newpossh2,0.451430963,Possible,Validation,-0.052236129
0,newpossi1,0.478455835,Possible,Validation,-0.038843272
0,newpossi5,0.430345185,Possible,Validation,-0.128786671
