"correct","correct_response","image","label","response","response_time"
"1","left","newpossa1.bmp","Possible","left","5262"
"1","right","impossi3.bmp","Impossible","right","1903"
"1","left","newpossg8.bmp","Possible","left","781"
"1","right","impossa6.bmp","Impossible","right","789"
"0","left","newpossa5.bmp","Possible","right","1229"
"1","right","impossi2.bmp","Impossible","right","1031"
"1","right","impossb4.bmp","Impossible","right","2214"
"1","right","impossb6.bmp","Impossible","right","2779"
"1","left","newpossb4.bmp","Possible","left","883"
"1","left","newpossb3.bmp","Possible","left","643"
"1","right","impossc6.bmp","Impossible","right","981"
"1","right","impossg3.bmp","Impossible","right","731"
"0","left","newpossg7.bmp","Possible","right","1697"
"1","right","impossc2.bmp","Impossible","right","702"
"1","left","newpossa3.bmp","Possible","left","925"
"0","left","newpossi3.bmp","Possible","right","893"
"1","left","newpossh3.bmp","Possible","left","1922"
"1","right","impossi1.bmp","Impossible","right","663"
"1","left","newpossh4.bmp","Possible","left","1235"
"0","left","newpossh2.bmp","Possible","right","2659"
"0","left","newpossa6.bmp","Possible","right","1040"
"1","right","impossc4.bmp","Impossible","right","742"
"1","right","impossg6.bmp","Impossible","right","1178"
"1","right","impossh4.bmp","Impossible","right","849"
"1","left","newpossc1.bmp","Possible","left","1294"
"1","right","impossb3.bmp","Impossible","right","828"
"1","right","impossh5.bmp","Impossible","right","4576"
"1","left","newpossi6.bmp","Possible","left","941"
"0","left","newpossa7.bmp","Possible","right","3234"
"1","right","impossa8.bmp","Impossible","right","1798"
"1","right","impossi5.bmp","Impossible","right","1011"
"1","left","newpossc5.bmp","Possible","left","1048"
"1","right","impossa7.bmp","Impossible","right","912"
"1","right","impossa2.bmp","Impossible","right","749"
"1","left","newpossi4.bmp","Possible","left","637"
"1","right","impossb5.bmp","Impossible","right","913"
"1","left","newpossc2.bmp","Possible","left","1382"
"1","right","impossg2.bmp","Impossible","right","676"
"1","left","newpossh1.bmp","Possible","left","1634"
"1","right","impossc5.bmp","Impossible","right","948"
"1","left","newpossc6.bmp","Possible","left","1300"
"1","left","newpossh5.bmp","Possible","left","1577"
"1","left","newpossi2.bmp","Possible","left","774"
"1","right","impossa4.bmp","Impossible","right","1413"
"1","right","impossi4.bmp","Impossible","right","1074"
"1","right","impossg4.bmp","Impossible","right","1371"
"1","right","impossa5.bmp","Impossible","right","699"
"1","left","newpossi1.bmp","Possible","left","1197"
"1","left","newpossb6.bmp","Possible","left","2109"
"1","right","impossh2.bmp","Impossible","right","1593"
"1","left","newpossa4.bmp","Possible","left","1569"
"1","left","newpossi5.bmp","Possible","left","3039"
"1","right","impossa3.bmp","Impossible","right","1760"
"1","right","impossc3.bmp","Impossible","right","1724"
"1","left","newpossg2.bmp","Possible","left","5420"
"1","left","newpossb1.bmp","Possible","left","4447"
"1","right","impossh1.bmp","Impossible","right","991"
"0","left","newpossa8.bmp","Possible","right","744"
"1","left","newpossg5.bmp","Possible","left","1006"
"0","left","newpossc3.bmp","Possible","right","4622"
"1","right","impossg1.bmp","Impossible","right","3392"
"1","left","newpossg3.bmp","Possible","left","4464"
"1","left","newpossg6.bmp","Possible","left","1405"
"1","right","impossb2.bmp","Impossible","right","1949"
"1","right","impossb1.bmp","Impossible","right","630"
"1","left","newpossb2.bmp","Possible","left","1017"
"1","right","impossc1.bmp","Impossible","right","1363"
"1","right","impossg8.bmp","Impossible","right","598"
"1","right","impossg5.bmp","Impossible","right","687"
"0","left","newpossb5.bmp","Possible","right","1782"
"1","left","newpossa2.bmp","Possible","left","948"
"1","right","impossh3.bmp","Impossible","right","3975"
"1","right","impossh6.bmp","Impossible","right","777"
"1","left","newpossg4.bmp","Possible","left","1024"
"1","left","newpossh6.bmp","Possible","left","1933"
"1","right","impossa1.bmp","Impossible","right","1731"
"0","left","newpossg1.bmp","Possible","right","5125"
"1","right","impossg7.bmp","Impossible","right","481"
"1","right","impossi6.bmp","Impossible","right","564"
"1","left","newpossc4.bmp","Possible","left","286"
"1","right","impossb2_339_lr.bmp","Impossible","right","821"
"1","left","newpossh6_62_ud.bmp","Possible","left","630"
"1","right","impossc2_158_ud.bmp","Impossible","right","462"
"1","right","impossi5_197_lr.bmp","Impossible","right","791"
"1","left","newpossa2_49.bmp","Possible","left","869"
"1","left","newpossa7_267_lr.bmp","Possible","left","1809"
"0","right","impossb6_263_lr.bmp","Impossible","left","5598"
"1","left","newpossb5_354_lr.bmp","Possible","left","4496"
"1","right","impossg8_50_lr.bmp","Impossible","right","1710"
"1","right","impossg1_182_ud.bmp","Impossible","right","902"
"1","left","newpossi2_26_lr.bmp","Possible","left","1447"
"1","left","newpossc3_8_lr.bmp","Possible","left","802"
"1","right","impossb1_167_lr.bmp","Impossible","right","1148"
"1","right","impossh6_270_ud.bmp","Impossible","right","1275"
"1","left","newpossa6_200_lr.bmp","Possible","left","835"
"1","left","newpossg6_297_lr.bmp","Possible","left","2868"
"1","left","newpossg1_281.bmp","Possible","left","1048"
"0","left","newpossa8_34_lr.bmp","Possible","right","5148"
"1","right","impossi6_19_lr.bmp","Impossible","right","1224"
"1","right","impossb4_269.bmp","Impossible","right","643"
"0","right","impossa3_224_lr.bmp","Impossible","left","1163"
"1","left","newpossb2_6.bmp","Possible","left","889"
"1","left","newpossi6_325_lr.bmp","Possible","left","1140"
"1","right","impossi1_355_lr.bmp","Impossible","right","7328"
"0","right","impossi3_67.bmp","Impossible","left","7869"
"1","right","impossi1_81_lr.bmp","Impossible","right","1781"
"1","left","newpossa3_323.bmp","Possible","left","772"
"1","right","impossh3_141_lr.bmp","Impossible","right","695"
"1","right","impossg2_46_lr.bmp","Impossible","right","629"
"1","left","newpossh4_259.bmp","Possible","left","1183"
"0","right","impossc5_330.bmp","Impossible","left","572"
"1","right","impossa8_292.bmp","Impossible","right","514"
"1","left","newpossa1_331_lr.bmp","Possible","left","2918"
"1","right","impossh6_31.bmp","Impossible","right","844"
"1","right","impossa6_246_lr.bmp","Impossible","right","574"
"1","left","newpossa4_209_lr.bmp","Possible","left","1173"
"1","left","newpossb4_349_lr.bmp","Possible","left","573"
"1","right","impossa4_133_ud.bmp","Impossible","right","313"
"1","left","newpossa2_349_lr.bmp","Possible","left","857"
"1","left","newpossa3_340.bmp","Possible","left","1445"
"1","right","impossb5_298_ud.bmp","Impossible","right","590"
"0","left","newpossc5_157_ud.bmp","Possible","right","1051"
"1","left","newpossb4_204.bmp","Possible","left","732"
"1","right","impossc3_125_lr.bmp","Impossible","right","1083"
"1","right","impossb6_207.bmp","Impossible","right","3190"
"1","right","impossb2_303.bmp","Impossible","right","648"
"1","left","newpossb2_123_ud.bmp","Possible","left","660"
"1","left","newpossg4_322.bmp","Possible","left","1793"
"1","left","newpossh2_216_lr.bmp","Possible","left","789"
"1","left","newpossh1_95.bmp","Possible","left","592"
"1","right","impossh2_89_ud.bmp","Impossible","right","671"
"1","right","impossg3_207_ud.bmp","Impossible","right","847"
"1","right","impossi2_257.bmp","Impossible","right","1028"
"1","left","newpossc2_283.bmp","Possible","left","1554"
"1","right","impossa8_209_lr.bmp","Impossible","right","810"
"1","left","newpossh2_324.bmp","Possible","left","4789"
"0","right","impossh5_229.bmp","Impossible","left","1181"
"1","right","impossc1_139_lr.bmp","Impossible","right","1469"
"0","right","impossa7_348.bmp","Impossible","left","834"
"1","left","newpossi1_297_lr.bmp","Possible","left","1751"
"1","left","newpossb6_303.bmp","Possible","left","625"
"1","right","impossi4_68_lr.bmp","Impossible","right","375"
"0","right","impossg4_314_lr.bmp","Impossible","left","3709"
"1","left","newpossg4_344_ud.bmp","Possible","left","1770"
"1","left","newpossa5_96_ud.bmp","Possible","left","1491"
"1","right","impossg1_322_ud.bmp","Impossible","right","1060"
"1","left","newpossg8_112_lr.bmp","Possible","left","1220"
"1","left","newpossg1_59_ud.bmp","Possible","left","1516"
"1","right","impossg3_187_ud.bmp","Impossible","right","620"
"1","left","newpossb6_305_lr.bmp","Possible","left","1973"
"1","left","newpossc3_251.bmp","Possible","left","2079"
"1","right","impossa2_216_lr.bmp","Impossible","right","1808"
"1","right","impossc2_66.bmp","Impossible","right","1303"
"1","right","impossh1_126_lr.bmp","Impossible","right","1153"
"1","right","impossb5_223_ud.bmp","Impossible","right","1975"
"1","left","newpossi3_154_lr.bmp","Possible","left","1420"
"1","left","newpossh5_334.bmp","Possible","left","808"
"1","left","newpossb5_194_ud.bmp","Possible","left","907"
"1","left","newpossi4_74.bmp","Possible","left","2175"
"0","left","newpossa8_115_lr.bmp","Possible","right","1183"
"1","left","newpossh3_18_ud.bmp","Possible","left","952"
"1","right","impossi5_98.bmp","Impossible","right","1317"
"1","right","impossi2_96.bmp","Impossible","right","828"
"1","right","impossb3_305_ud.bmp","Impossible","right","1183"
"1","right","impossa5_46_ud.bmp","Impossible","right","626"
"1","right","impossi3_137_ud.bmp","Impossible","right","437"
"1","left","newpossg5_45_lr.bmp","Possible","left","675"
"1","left","newpossh5_294_lr.bmp","Possible","left","1650"
"1","left","newpossa6_54_ud.bmp","Possible","left","1395"
"1","left","newpossc6_32_ud.bmp","Possible","left","4952"
"1","left","newpossc4_21_ud.bmp","Possible","left","656"
"1","left","newpossi5_65_lr.bmp","Possible","left","2003"
"1","left","newpossi1_304_lr.bmp","Possible","left","1962"
"1","right","impossg4_73_lr.bmp","Impossible","right","6066"
"1","right","impossb4_176_ud.bmp","Impossible","right","1674"
"1","left","newpossh1_352_lr.bmp","Possible","left","6560"
"1","right","impossg6_36_lr.bmp","Impossible","right","1053"
"1","right","impossg7_249_ud.bmp","Impossible","right","562"
"1","left","newpossb3_64_lr.bmp","Possible","left","1414"
"1","right","impossc4_165_lr.bmp","Impossible","right","722"
"1","left","newpossg5_318_lr.bmp","Possible","left","1386"
"1","left","newpossg6_259_ud.bmp","Possible","left","5091"
"1","right","impossa4_248_ud.bmp","Impossible","right","652"
"1","right","impossc5_74_ud.bmp","Impossible","right","730"
"1","right","impossg5_144_ud.bmp","Impossible","right","678"
"1","left","newpossb1_10_ud.bmp","Possible","left","4665"
"1","left","newpossg2_359_lr.bmp","Possible","left","797"
"1","left","newpossg2_2.bmp","Possible","left","797"
"0","left","newpossc4_339_ud.bmp","Possible","right","1467"
"1","right","impossa5_189.bmp","Impossible","right","311"
"1","left","newpossa5_92.bmp","Possible","left","694"
"1","left","newpossc6_191_lr.bmp","Possible","left","2350"
"1","right","impossi6_276.bmp","Impossible","right","4383"
"1","left","newpossa7_44_ud.bmp","Possible","left","5077"
"1","left","newpossc2_102_lr.bmp","Possible","left","937"
"1","right","impossh2_102_ud.bmp","Impossible","right","2962"
"1","right","impossg2_175_ud.bmp","Impossible","right","1114"
"1","right","impossc6_89_lr.bmp","Impossible","right","2406"
"1","right","impossh1_353_lr.bmp","Impossible","right","4066"
"1","left","newpossa4_70_lr.bmp","Possible","left","3553"
"1","right","impossa1_37_ud.bmp","Impossible","right","1149"
"1","left","newpossg3_170_lr.bmp","Possible","left","1335"
"0","left","newpossg3_108.bmp","Possible","right","1306"
"1","right","impossc3_125.bmp","Impossible","right","1168"
"1","right","impossc4_343_ud.bmp","Impossible","right","832"
"1","left","newpossc1_220_ud.bmp","Possible","left","2137"
"1","right","impossh4_166_lr.bmp","Impossible","right","461"
"1","left","newpossi3_284.bmp","Possible","left","1003"
"1","left","newpossc5_83_ud.bmp","Possible","left","1881"
"1","left","newpossh6_195.bmp","Possible","left","922"
"1","right","impossg5_78_lr.bmp","Impossible","right","2596"
"1","left","newpossh3_32_ud.bmp","Possible","left","811"
"1","right","impossi4_97_ud.bmp","Impossible","right","685"
"1","left","newpossa1_70_lr.bmp","Possible","left","4561"
"1","left","newpossi5_282_lr.bmp","Possible","left","3156"
"1","right","impossa1_60_ud.bmp","Impossible","right","769"
"1","right","impossa3_82_ud.bmp","Impossible","right","911"
"1","left","newpossg7_270_lr.bmp","Possible","left","1839"
"1","right","impossb3_318_ud.bmp","Impossible","right","1377"
"1","left","newpossi4_69_lr.bmp","Possible","left","916"
"1","right","impossa2_270.bmp","Impossible","right","662"
"1","right","impossg6_80_ud.bmp","Impossible","right","1036"
"1","left","newpossc1_190.bmp","Possible","left","9880"
"1","left","newpossg7_258_ud.bmp","Possible","left","2996"
"1","right","impossc6_270_ud.bmp","Impossible","right","958"
"1","left","newpossh4_83_ud.bmp","Possible","left","757"
"1","right","impossh3_60_ud.bmp","Impossible","right","1021"
"1","left","newpossb3_130.bmp","Possible","left","2713"
"1","left","newpossi2_232_ud.bmp","Possible","left","1450"
"1","right","impossa6_102.bmp","Impossible","right","727"
"1","left","newpossi6_327_lr.bmp","Possible","left","2360"
"1","right","impossa7_277.bmp","Impossible","right","602"
"1","right","impossb1_271.bmp","Impossible","right","1896"
"1","right","impossc1_355_lr.bmp","Impossible","right","2960"
"1","left","newpossg8_332_ud.bmp","Possible","left","7456"
"1","right","impossg8_128.bmp","Impossible","right","854"
"1","right","impossg7_109_lr.bmp","Impossible","right","1351"
"1","left","newpossb1_161_lr.bmp","Possible","left","1689"
"0","right","impossh5_165_lr.bmp","Impossible","left","1198"
"1","right","impossh4_331_lr.bmp","Impossible","right","4883"
