,acc,epoch,loss,val_acc,val_loss
0,0.4984375,0.0,3.352470963448286,0.5203125,1.6361875012516975
0,0.48125,1.0,1.3918789796531201,0.5078125,0.8401387155055999
0,0.52734375,2.0,0.8452138297259808,0.521875,0.8347956478595734
0,0.5203125,3.0,0.8194002360105515,0.5328125,0.7588430672883988
0,0.51015625,4.0,0.8138900406658649,0.53125,0.786935544013977
0,0.5234375,5.0,0.8251873023808003,0.5140625,0.8401131555438042
0,0.525,6.0,0.8337078511714935,0.5421875,0.7849599584937096
0,0.55,7.0,0.7650103002786637,0.5625,0.7228943184018135
0,0.53046875,8.0,0.7793708503246307,0.578125,0.7518357947468758
0,0.56171875,9.0,0.7844441797584295,0.5703125,0.732863874733448
0,0.51015625,10.0,0.797485989332199,0.5625,0.7481283724308014
0,0.5546875,11.0,0.7661106448620558,0.5890625,0.7391675531864166
0,0.55625,12.0,0.7743610337376594,0.571875,0.7192763015627861
0,0.55234375,13.0,0.7581297107040882,0.571875,0.6996731728315353
0,0.54921875,14.0,0.7327107481658459,0.5921875,0.682374955713749
0,0.56953125,15.0,0.7027918983250856,0.590625,0.6948301613330841
0,0.57578125,16.0,0.7138170767575502,0.6109375,0.668953949213028
0,0.58125,17.0,0.7509606175124646,0.5875,0.684676407277584
0,0.5859375,18.0,0.7284814342856407,0.6078125,0.6815634876489639
0,0.5984375,19.0,0.6871730472892523,0.6125,0.6670174807310104
0,0.590625,20.0,0.6957818429917098,0.615625,0.688327643275261
0,0.5875,21.0,0.7053196530789136,0.61875,0.686550585925579
0,0.60234375,22.0,0.6950448609888553,0.60625,0.6786944016814231
0,0.59609375,23.0,0.7388818003237247,0.6375,0.6728781752288342
0,0.5859375,24.0,0.7343685649335384,0.5875,0.6877994388341904
0,0.584375,25.0,0.7285728629678487,0.609375,0.676370170712471
0,0.58984375,26.0,0.7038252670317888,0.6109375,0.6593997910618782
0,0.6,27.0,0.6878710813820362,0.625,0.678204970061779
0,0.59296875,28.0,0.7064110174775123,0.6625,0.6206932120025158
0,0.6171875,29.0,0.6872493740171194,0.6171875,0.6999680355191231
0,0.60546875,30.0,0.7203171223402023,0.61875,0.6879894137382507
0,0.61953125,31.0,0.6898059908300638,0.63125,0.6508875586092472
0,0.6171875,32.0,0.6861889481544494,0.6515625,0.6435862123966217
0,0.59375,33.0,0.7463964153081178,0.5984375,0.687532740086317
0,0.62890625,34.0,0.6597124207764864,0.6109375,0.6919352501630783
0,0.64296875,35.0,0.6836616322398186,0.625,0.6925037950277328
0,0.61171875,36.0,0.7298603877425194,0.634375,0.6809561401605606
0,0.6109375,37.0,0.7257657431066036,0.61875,0.7012932971119881
0,0.6203125,38.0,0.7188484650105238,0.6046875,0.7046402506530285
0,0.60234375,39.0,0.7383371084928513,0.6125,0.7320061832666397
0,0.5953125,40.0,0.7381028678268194,0.5671875,0.7835324466228485
0,0.61015625,41.0,0.744427964836359,0.5796875,0.7082372367382049
